INFO:2022-08-25 02:11:39,558:autoreload:run_with_reloader:677:Watching for file changes with StatReloader
INFO:2022-08-25 02:30:15,918:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 02:30:15,925:basehttp:log_message:187:"GET /teacher/ HTTP/1.1" 200 2
INFO:2022-08-25 02:30:25,936:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 02:30:25,942:basehttp:log_message:187:"GET /teacher/ HTTP/1.1" 200 2
INFO:2022-08-25 02:31:42,180:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 02:31:42,313:basehttp:log_message:187:"POST /teacher/ HTTP/1.1" 201 332
INFO:2022-08-25 02:31:42,488:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 02:31:42,495:basehttp:log_message:187:"GET /teacher/10/ HTTP/1.1" 200 332
INFO:2022-08-25 02:31:50,695:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 02:31:50,702:basehttp:log_message:187:"GET /teacher/10/ HTTP/1.1" 200 332
INFO:2022-08-25 02:31:50,744:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 02:31:50,749:basehttp:log_message:187:"GET /teacher/10/ HTTP/1.1" 200 332
INFO:2022-08-25 02:32:13,219:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 02:32:13,265:basehttp:log_message:187:"PUT /teacher/10/ HTTP/1.1" 200 334
INFO:2022-08-25 02:32:13,438:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 02:32:13,444:basehttp:log_message:187:"GET /teacher/10/ HTTP/1.1" 200 334
INFO:2022-08-25 02:32:17,581:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 02:32:17,588:basehttp:log_message:187:"GET /teacher/ HTTP/1.1" 200 336
INFO:2022-08-25 02:32:19,342:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 02:32:19,348:basehttp:log_message:187:"GET /teacher/10/ HTTP/1.1" 200 334
INFO:2022-08-25 02:32:24,987:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 02:32:24,994:basehttp:log_message:187:"GET /teacher/10/ HTTP/1.1" 200 334
INFO:2022-08-25 02:32:37,619:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 02:32:37,625:basehttp:log_message:187:"GET /teacher/10/ HTTP/1.1" 200 334
INFO:2022-08-25 02:33:27,958:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
WARNING:2022-08-25 02:33:27,963:log:log_response:241:Not Found: /teacher/0/
WARNING:2022-08-25 02:33:27,964:basehttp:log_message:187:"GET /teacher/0/ HTTP/1.1" 404 23
INFO:2022-08-25 02:33:30,795:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
WARNING:2022-08-25 02:33:30,801:log:log_response:241:Not Found: /teacher/0/
WARNING:2022-08-25 02:33:30,801:basehttp:log_message:187:"GET /teacher/0/ HTTP/1.1" 404 23
INFO:2022-08-25 02:33:36,612:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 02:33:36,619:basehttp:log_message:187:"GET /teacher/10/ HTTP/1.1" 200 334
INFO:2022-08-25 02:33:46,189:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 02:33:46,196:basehttp:log_message:187:"GET /teacher/10/ HTTP/1.1" 200 334
INFO:2022-08-25 02:33:51,929:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 02:33:51,935:basehttp:log_message:187:"GET /teacher/10/ HTTP/1.1" 200 334
INFO:2022-08-25 16:17:54,882:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 16:17:54,910:basehttp:log_message:187:"GET /teacher/ HTTP/1.1" 200 336
INFO:2022-08-25 16:31:16,876:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 16:31:16,883:basehttp:log_message:187:"GET /teacher/ HTTP/1.1" 200 336
INFO:2022-08-25 16:31:38,452:basehttp:log_message:187:"POST /auth/ HTTP/1.1" 200 52
INFO:2022-08-25 16:31:38,458:basehttp:log_message:187:"GET /teacher/10/ HTTP/1.1" 200 334
